Round,Name,Link,Spreadsheet,State,Solution,Meta
Whoston,The Times They Had,https://www.bookspace.world/puzzle/the-times-they-had/,,0,,0
Whoston,THIS IS NOW A PUZZLE,https://www.bookspace.world/puzzle/this-is-now-a-puzzle/,,0,,0
Whoston,Whose Turn Is It Anyway?,https://www.bookspace.world/puzzle/whose-turn-is-it-anyway/,,0,,0
Whoston,XD VA GD KHT BD,https://www.bookspace.world/puzzle/xd-va-gd-kht-bd/,,0,,0
Reference Point,Reference Desk,https://www.bookspace.world/puzzle/reference-desk/,,0,,1
Reference Point,You Took The Fifth,https://www.bookspace.world/puzzle/you-took-the-fifth/,,0,,0
Reference Point,The 4500 Year Itch,https://www.bookspace.world/puzzle/the-4500-year-itch/,,0,,0
Reference Point,Diced Turkey Hash,https://www.bookspace.world/puzzle/diced-turkey-hash/,,0,,0
Reference Point,Head for the Kitchen,https://www.bookspace.world/puzzle/head-for-the-kitchen/,,0,,0
Reference Point,"The Mlystery Hunt, as Told By a Thief of the Bases",https://www.bookspace.world/puzzle/the-mlystery-hunt-as-told-by-a-thief-of-the-bases/,,0,,0
Reference Point,Nature Hike,https://www.bookspace.world/puzzle/nature-hike/,,0,,0
Reference Point,Nowhere To Hide,https://www.bookspace.world/puzzle/nowhere-to-hide/,,0,,0
Reference Point,On Second Thought,https://www.bookspace.world/puzzle/on-second-thought/,,0,,0
Reference Point,Opening Bids,https://www.bookspace.world/puzzle/opening-bids/,,0,,0
Reference Point,Projection Booth,https://www.bookspace.world/puzzle/projection-booth/,,0,,0
Reference Point,Trim Designs,https://www.bookspace.world/puzzle/trim-designs/,,0,,0
Reference Point,Wooded Path,https://www.bookspace.world/puzzle/wooded-path/,,0,,0
Howtoona,How To Find a Component,https://www.bookspace.world/puzzle/how-to-find-a-component/,,0,,1
Howtoona,How To Build Your Own Cathedral,https://www.bookspace.world/puzzle/how-to-build-your-own-cathedral/,,1,,0
Howtoona,How To Collide Particles,https://www.bookspace.world/puzzle/how-to-collide-particles/,,0,,0
Howtoona,How To Do Quality Reviews,https://www.bookspace.world/puzzle/how-to-do-quality-reviews/,,0,,0
Howtoona,How To Have It All,https://www.bookspace.world/puzzle/how-to-have-it-all/,,0,,0
Howtoona,How To Install a Handle,https://www.bookspace.world/puzzle/how-to-install-a-handle/,,0,,0
Howtoona,How To Make a Loop,https://www.bookspace.world/puzzle/how-to-make-a-loop/,,0,,0
Howtoona,How To Make the Right Move,https://www.bookspace.world/puzzle/how-to-make-the-right-move/,,0,,0
Howtoona,How To Require Some More Assembly (Picture Puzzle 3),https://www.bookspace.world/puzzle/how-to-require-some-more-assembly-picture-puzzle-3/,,0,,0
Howtoona,How To Spell With Gears And Arrows,https://www.bookspace.world/puzzle/how-to-spell-with-gears-and-arrows/,,0,,0
Sci-Ficisco,Communicating With The Aliens,https://www.bookspace.world/puzzle/communicating-with-the-aliens/,,0,,1
Sci-Ficisco,"My Son, The Science Fiction Fan",https://www.bookspace.world/puzzle/my-son-the-science-fiction-fan/,,0,,0
Sci-Ficisco,Minor Details,https://www.bookspace.world/puzzle/minor-details/,,0,,0
Sci-Ficisco,Cheers,https://www.bookspace.world/puzzle/cheers/,,0,,0
Sci-Ficisco,Replicator Droid,https://www.bookspace.world/puzzle/replicator-droid/,,0,,0
Sci-Ficisco,Landing Site,https://www.bookspace.world/puzzle/landing-site/,,0,,0
Sci-Ficisco,Star Wars Cosplay,https://www.bookspace.world/puzzle/star-wars-cosplay/,,0,,0
Sci-Ficisco,Lists of Large Integers,https://www.bookspace.world/puzzle/lists-of-large-integers/,,0,,0
Sci-Ficisco,Red Herring,https://www.bookspace.world/puzzle/red-herring/,,0,,0
Sci-Ficisco,Crow Facts 3000,https://www.bookspace.world/puzzle/crow-facts-3000/,,0,,0
Sci-Ficisco,Repetition and Variation,https://www.bookspace.world/puzzle/repetition-and-variation/,,0,,0
Sci-Ficisco,Altered Transmissions,https://www.bookspace.world/puzzle/altered-transmissions/,,0,,0
Plot Device,Battery Pack,https://www.bookspace.world/puzzle//,,0,,1
Plot Device,A Crying Shamus,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Order of Apparitions,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Narnia Beeswax,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Morale Compass,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Calculated Whisk,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Heavenely Bodice,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,A Web of Lives,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Synonym Toast,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,Step by Step Ladder,https://www.bookspace.world/puzzle//,,0,,0
Plot Device,First Contact Lens,https://www.bookspace.world/puzzle//,,0,,0
The Tollbooth,Completing the Story,https://www.bookspace.world/tollbooth/,,0,,1
